merchant,category,amount,street,city,state,zip,latitude,longitude,city_population,job,unix_time,merchant_latitude,merchant_longitude,is_fraud,transaction_date,transaction_time
"fraud_Berge, Kautzer and Harris",personal_care,88.7,5916 Susan Bridge Apt. 939,Grenada,CA,96038,41.6125,-122.5258,589,Systems analyst,1325421677,41.586814,-123.16098,0,1/1/2019,12:41:17
"fraud_Quitzon, Green and Bashirian",shopping_pos,2.72,8172 Robertson Parkways Suite 072,Superior,AZ,85173,33.2887,-111.0985,2872,Petroleum engineer,1325421680,32.469997,-110.691362,0,1/1/2019,12:41:20
fraud_Zboncak Ltd,food_dining,3.64,62130 Miller Square Suite 785,Brinson,GA,39825,30.9788,-84.7373,1461,"Engineer, broadcasting (operations)",1325421684,31.887274,-84.818212,0,1/1/2019,12:41:24
fraud_Roberts-Beahan,misc_pos,9.32,78117 George Mountains,Paauilo,HI,96776,20.0271,-155.3697,1490,"Scientist, research (maths)",1325421693,20.515285,-155.739146,0,1/1/2019,12:41:33
fraud_Volkman-Predovic,shopping_net,3.08,319 Wendy Fort Suite 179,Murfreesboro,TN,37132,35.8596,-86.421,158701,"Journalist, newspaper",1325421764,35.814491,-87.1656,0,1/1/2019,12:42:44
fraud_Simonis-Prohaska,misc_pos,107.58,2989 Murray Inlet,Washington,DC,20017,38.9367,-76.994,601723,"Psychotherapist, child",1325421815,39.293971,-77.442266,0,1/1/2019,12:43:35
fraud_Breitenberg-Hermiston,kids_pets,102.42,9808 Ellis Bypass,Mount Morris,NY,14510,42.6835,-77.8664,4895,Acupuncturist,1325421841,43.119601,-78.679718,0,1/1/2019,12:44:01
fraud_Brown Inc,kids_pets,20.29,4440 George Mills Suite 591,Dallas,TX,75210,32.7699,-96.743,1263321,Television camera operator,1325421854,32.040588,-96.155962,0,1/1/2019,12:44:14
fraud_Fahey Inc,kids_pets,64.89,40624 Rebecca Spurs,De Witt,AR,72042,34.2853,-91.3336,5161,Electrical engineer,1325421864,35.165667,-91.757016,0,1/1/2019,12:44:24
"fraud_Hagenes, Kohler and Hoppe",food_dining,4.07,269 Sanchez Rapids,Elizabeth,NJ,7208,40.6747,-74.2239,124967,Operational researcher,1325421897,40.999253,-74.621983,0,1/1/2019,12:44:57
"fraud_Boehm, Block and Jakubowski",misc_pos,1.6,854 Walker Dale Suite 488,Bowdoin,ME,4287,44.0575,-69.9656,3224,"Engineer, electronics",1325421906,43.355724,-70.333731,0,1/1/2019,12:45:06
fraud_Hermann-Gaylord,misc_pos,359.14,382 Williams Stream Suite 197,Scotland,MD,20687,38.0828,-76.3477,313,Insurance underwriter,1325421942,38.640652,-75.351543,0,1/1/2019,12:45:42
"fraud_Mante, Luettgen and Hackett",health_fitness,72.61,45654 Hess Rest,Fort Washakie,WY,82514,43.0048,-108.8964,1645,Freight forwarder,1325421945,43.866236,-108.184437,0,1/1/2019,12:45:45
fraud_Thompson-Gleason,health_fitness,16.99,74835 Garner Point,Ruth,NV,89319,39.3426,-114.8859,450,Interpreter,1325422003,39.39999,-114.165521,0,1/1/2019,12:46:43
"fraud_Turcotte, Batz and Buckridge",health_fitness,12.93,137 Adam Dale,Lebanon,VA,24266,36.8809,-82.0956,9521,"Teacher, English as a foreign language",1325422004,36.352098,-82.612067,0,1/1/2019,12:46:44
fraud_Beier-Hyatt,shopping_pos,9.52,1943 Dennis Inlet Suite 145,Hurricane,WV,25526,38.4257,-81.9943,21902,Sub,1325422005,38.628875,-82.321074,0,1/1/2019,12:46:45
"fraud_Goyette, Howell and Collier",shopping_pos,3.7,154 Hernandez Keys,Smith River,CA,95567,41.9404,-124.1587,1930,Web designer,1325422035,41.64788,-124.744747,0,1/1/2019,12:47:15
"fraud_Jones, Sawayn and Romaguera",misc_net,7.27,9886 Anita Drive,Fort Washakie,WY,82514,43.0048,-108.8964,1645,Information systems manager,1325422035,43.974711,-109.741904,0,1/1/2019,12:47:15
fraud_Pollich LLC,home,45.7,916 Charles Road,Bowersville,OH,45307,39.5756,-83.7153,338,Quantity surveyor,1325422037,39.257495,-83.701176,0,1/1/2019,12:47:17
fraud_Gulgowski LLC,home,64.61,27718 Mason Bypass,Mount Saint Joseph,OH,45051,39.0965,-84.6431,177,Exhibition designer,1325422178,38.501224,-83.836043,0,1/1/2019,12:49:38
"fraud_Schaefer, Fay and Hilll",entertainment,35.28,622 Bradley Knoll Apt. 758,Hancock,MD,21750,39.6991,-78.1762,3766,Press photographer,1325422207,38.714695,-78.392187,0,1/1/2019,12:50:07
fraud_Medhurst Inc,home,40.62,06808 Ryan Valleys,Dubre,KY,42731,36.8421,-85.5396,341,Insurance risk surveyor,1325422209,36.844537,-85.930413,0,1/1/2019,12:50:09
fraud_Bode-Schuster,kids_pets,109.06,9824 Mitchell Run,Powell Butte,OR,97753,44.2415,-121.0113,2016,Local government officer,1325422214,43.729748,-120.13096,0,1/1/2019,12:50:14
"fraud_O'Connell, Botsford and Hand",home,71.03,542 Steve Curve Suite 011,Collettsville,NC,28611,35.9946,-81.7266,885,Soil scientist,1325422300,35.773439,-80.895816,0,1/1/2019,12:51:40
fraud_Connelly-Carter,home,102.48,6313 Scott Trace,Rossville,IL,60963,40.3625,-87.6692,1807,"Buyer, retail",1325422303,39.397946,-86.696654,0,1/1/2019,12:51:43
fraud_Kuhic LLC,shopping_net,266.91,927 Cummings Manor Suite 318,Greendale,WI,53129,42.9373,-87.9943,13973,Logistics and distribution manager,1325422339,42.866361,-87.436966,0,1/1/2019,12:52:19
fraud_Gottlieb-Hansen,personal_care,3.65,7600 Stephen Course Suite 031,Red River,NM,87558,36.6659,-105.4694,606,"Surveyor, land/geomatics",1325422348,36.849101,-104.807088,0,1/1/2019,12:52:28
"fraud_Schroeder, Wolff and Hermiston",travel,9.65,857 Aaron Circles Suite 398,Johns Island,SC,29455,32.8357,-79.8217,20478,Materials engineer,1325422425,32.081388,-80.102585,0,1/1/2019,12:53:45
"fraud_Hettinger, McCullough and Fay",home,35.15,977 Rita Grove Apt. 000,Rock Tavern,NY,12575,41.4575,-74.1659,2258,Building surveyor,1325422449,40.84301,-74.559784,0,1/1/2019,12:54:09
"fraud_Pouros, Walker and Spencer",kids_pets,2.31,956 Sanchez Highway,Mallie,KY,41836,37.2692,-82.9161,798,Facilities manager,1325422465,37.71969,-83.814198,0,1/1/2019,12:54:25
fraud_Kub PLC,personal_care,215.27,72269 Elizabeth Field Apt. 132,Phoenix,AZ,85020,33.5623,-112.0559,1312922,Contractor,1325422476,33.58785,-111.796899,0,1/1/2019,12:54:36
"fraud_Quitzon, Green and Bashirian",shopping_pos,1.24,5939 Garcia Forges Suite 297,San Antonio,TX,78214,29.3641,-98.4924,1595797,Land,1325422500,29.929382,-99.337814,0,1/1/2019,12:55:00
fraud_Watsica LLC,personal_care,4.31,748 Bryan Fields Suite 935,Riverton,WY,82501,43.0351,-108.2024,19408,"Lecturer, higher education",1325422523,43.96206,-108.042065,0,1/1/2019,12:55:23
fraud_Stiedemann Ltd,food_dining,59.06,619 Jeremy Garden Apt. 681,Benton,WI,53803,42.5545,-90.3508,1306,Public relations officer,1325422551,42.038172,-89.810332,0,1/1/2019,12:55:51
"fraud_Nicolas, Hills and McGlynn",entertainment,1.42,7854 Stephanie Island Suite 788,Holloway,OH,43985,40.0113,-80.9701,128,Child psychotherapist,1325422563,40.515755,-80.239521,0,1/1/2019,12:56:03
"fraud_Hauck, Dietrich and Funk",kids_pets,44.21,7483 Navarro Flats,Freedom,WY,83120,43.0172,-111.0292,471,"Education officer, museum",1325422577,43.329385,-111.772465,0,1/1/2019,12:56:17
fraud_Labadie LLC,personal_care,48.62,598 Martin Pine Suite 365,Saint Paul,MN,55128,44.9913,-92.9487,753116,Fisheries officer,1325422582,45.544687,-92.024643,0,1/1/2019,12:56:22
fraud_Dickinson-Rempel,misc_pos,4.2,47144 Roberts Keys,Monmouth Beach,NJ,7750,40.333,-73.9809,3279,Health promotion specialist,1325422699,40.151565,-74.369371,0,1/1/2019,12:58:19
fraud_Friesen Inc,shopping_pos,21.28,576 House Crossroad,West Sayville,NY,11796,40.732,-73.1,4056,Film/video editor,1325422736,41.379035,-73.772712,0,1/1/2019,12:58:56
"fraud_Crist, Jakubowski and Littel",home,74.22,02018 Gary Key Apt. 911,Independence,MO,64058,39.1412,-94.3515,123373,"Engineer, production",1325422760,38.442726,-94.42199,0,1/1/2019,12:59:20
"fraud_Hodkiewicz, Prohaska and Paucek",travel,2.94,588 Smith Lights Suite 786,Rosewood,OH,43070,40.2158,-83.9579,133,Professor Emeritus,1325422802,40.108156,-84.400604,0,1/1/2019,13:00:02
"fraud_McDermott, Osinski and Morar",home,67.19,4440 George Mills Suite 591,Dallas,TX,75210,32.7699,-96.743,1263321,Television camera operator,1325422839,32.02622,-96.179015,0,1/1/2019,13:00:39
fraud_Fritsch and Sons,health_fitness,9.95,98897 Bennett Lodge,Bessemer,AL,35022,33.3224,-86.9657,71463,Radio broadcast assistant,1325422885,32.749836,-87.656536,0,1/1/2019,13:01:25
"fraud_Baumbach, Feeney and Morar",shopping_net,2.55,11014 Chad Lake Apt. 573,Heart Butte,MT,59448,48.2777,-112.8456,743,Water engineer,1325422930,47.973642,-113.597641,0,1/1/2019,13:02:10
"fraud_Konopelski, Schneider and Hartmann",food_dining,45.19,212 Mary Stream,Arcadia,MI,49613,44.5232,-86.2061,680,"Designer, jewellery",1325423062,45.196791,-86.877691,0,1/1/2019,13:04:22
"fraud_Swaniawski, Nitzsche and Welch",health_fitness,177.82,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1325423065,45.105736,-87.086468,0,1/1/2019,13:04:25
fraud_Gleason-Macejkovic,shopping_net,1.13,69608 Perez Mountain Apt. 006,Viola,AR,72583,36.3924,-91.9932,1679,Psychiatric nurse,1325423074,36.787512,-91.931081,0,1/1/2019,13:04:34
"fraud_Windler, Goodwin and Kovacek",home,78.97,295 Page Creek Suite 181,Greenbush,VA,23357,37.7681,-75.6664,776,Psychiatrist,1325423076,37.674054,-75.572403,0,1/1/2019,13:04:36
fraud_Pfeffer and Sons,shopping_pos,8.32,65417 Walsh Radial Suite 691,Saint Amant,LA,70774,30.2385,-90.8435,10076,"Surveyor, rural practice",1325423101,30.477743,-91.166837,0,1/1/2019,13:05:01
"fraud_Yost, Schamberger and Windler",kids_pets,73.46,11014 Chad Lake Apt. 573,Heart Butte,MT,59448,48.2777,-112.8456,743,Water engineer,1325423106,48.833502,-112.959004,0,1/1/2019,13:05:06
"fraud_Reichert, Huels and Hoppe",shopping_net,6.23,9853 Flynn Hollow Apt. 602,Reynolds,ND,58275,47.7068,-97.2092,733,Visual merchandiser,1325423174,47.732838,-96.663555,0,1/1/2019,13:06:14
fraud_Schoen-Quigley,kids_pets,58.08,941 Adam Stravenue,Nazareth,TX,79063,34.5444,-102.1069,686,Petroleum engineer,1325423184,33.661917,-102.227336,0,1/1/2019,13:06:24
"fraud_Metz, Russel and Metz",kids_pets,197.7,065 Jones Stravenue,Lake Oswego,OR,97034,45.4093,-122.6847,42817,Planning and development surveyor,1325423204,44.84209,-122.089726,0,1/1/2019,13:06:44
fraud_Erdman-Durgan,health_fitness,63.6,4319 Watson Shoals Suite 658,Falconer,NY,14733,42.1239,-79.1895,3833,Metallurgist,1325423245,42.007058,-78.408407,0,1/1/2019,13:07:25
fraud_Heathcote LLC,shopping_net,106.7,15315 Vaughn Park Suite 356,Hovland,MN,55606,47.8342,-90.0476,272,Freight forwarder,1325423245,48.29344,-89.552853,0,1/1/2019,13:07:25
"fraud_Bahringer, Bergnaum and Quitzon",home,106.65,79816 Jackson Squares,Shedd,OR,97377,44.453,-123.1065,917,Radio broadcast assistant,1325423253,43.617342,-122.715918,0,1/1/2019,13:07:33
fraud_Veum-Koelpin,travel,2.28,1833 Jeanette Stravenue,Belgrade,MT,59714,45.7801,-111.1439,18182,"Engineer, drilling",1325423298,45.996627,-111.048677,0,1/1/2019,13:08:18
"fraud_Becker, Harris and Harvey",personal_care,16.67,9345 Spencer Junctions Suite 183,Alpharetta,GA,30009,34.077,-84.3033,165556,Prison officer,1325423306,33.282548,-84.764595,0,1/1/2019,13:08:26
fraud_Monahan-Morar,personal_care,7.57,4257 Perez Mall,Canton,OH,44702,40.8027,-81.3739,192805,Building control surveyor,1325423320,41.369253,-81.696043,0,1/1/2019,13:08:40
"fraud_Kihn, Abernathy and Douglas",shopping_net,4.85,1911 Fisher Brook,Kirtland Afb,NM,87117,35.0203,-106.5503,310,"Surveyor, land/geomatics",1325423398,35.377937,-106.62152,0,1/1/2019,13:09:58
fraud_Johns Inc,entertainment,70.05,82201 Bradley Radial Suite 703,Avera,GA,30803,33.141,-82.515,741,Claims inspector/assessor,1325423434,33.926347,-82.275657,0,1/1/2019,13:10:34
fraud_Mosciski Group,travel,4.92,1980 Vasquez Manors Apt. 574,Catawba,VA,24070,37.3696,-80.1284,1363,Equality and diversity officer,1325423468,38.174527,-81.005397,0,1/1/2019,13:11:08
fraud_Abbott-Steuber,personal_care,72.74,6274 David Oval Suite 725,Scarborough,ME,4074,43.5835,-70.3457,18760,Make,1325423507,43.995784,-71.274235,0,1/1/2019,13:11:47
fraud_Padberg-Rogahn,entertainment,81.67,31493 Garcia Summit,Athena,OR,97813,45.8289,-118.4971,1302,Dealer,1325423517,45.184297,-118.779534,0,1/1/2019,13:11:57
fraud_Schaefer Ltd,kids_pets,17.88,69608 Perez Mountain Apt. 006,Viola,AR,72583,36.3924,-91.9932,1679,Psychiatric nurse,1325423527,36.136269,-92.393578,0,1/1/2019,13:12:07
fraud_Dibbert-Green,entertainment,57.26,05597 Michael Spurs,Parks,AZ,86018,35.2563,-111.95,759,"Geologist, engineering",1325423595,36.130873,-111.009704,0,1/1/2019,13:13:15
fraud_Erdman-Durgan,health_fitness,83.81,285 George Lake,Beaver Falls,PA,15010,40.7687,-80.3592,28425,Podiatrist,1325423619,41.15511,-80.305675,0,1/1/2019,13:13:39
fraud_Weimann-Lockman,kids_pets,138.54,47152 Clayton Burg,Manchester,MD,21102,39.6747,-76.8941,11751,Clinical research associate,1325423620,40.121986,-77.84758,0,1/1/2019,13:13:40
"fraud_Mante, Luettgen and Hackett",health_fitness,74.06,109 Brian Lights Apt. 504,Shippingport,PA,15077,40.6025,-80.3863,198,Secretary/administrator,1325423640,41.18301,-79.808935,0,1/1/2019,13:14:00
fraud_Nienow PLC,entertainment,68.58,7290 Ashlee Keys,Kissee Mills,MO,65680,36.6704,-93.0377,1201,"Engineer, agricultural",1325423677,37.415939,-92.949237,0,1/1/2019,13:14:37
fraud_Kub-Heaney,health_fitness,77.51,624 Hale Springs Apt. 572,Meadville,MO,64659,39.7795,-93.3014,964,Tourist information centre manager,1325423686,40.759427,-93.539051,0,1/1/2019,13:14:46
"fraud_McDermott, Osinski and Morar",home,125.02,07177 William Dale Apt. 547,Santa Monica,CA,90403,34.0287,-118.4924,92043,"Civil engineer, contracting",1325423716,34.052299,-119.426588,0,1/1/2019,13:15:16
fraud_Terry Ltd,home,35.59,44089 Carrie Crossing Suite 954,Falls City,TX,78113,28.9814,-98.0156,2435,"Engineer, mining",1325423722,28.509699,-98.629219,0,1/1/2019,13:15:22
fraud_Zulauf LLC,personal_care,5.93,0611 Stafford Valley Suite 504,Naples,FL,34112,26.1184,-81.7361,276002,"Programme researcher, broadcasting/film/video",1325423829,25.478181,-81.729029,0,1/1/2019,13:17:09
fraud_Ratke and Sons,health_fitness,43.04,835 Reese Views Suite 884,Hopkins,SC,29061,33.9349,-80.8449,13717,Chiropodist,1325423837,34.927867,-79.916499,0,1/1/2019,13:17:17
fraud_Jakubowski Inc,home,17.6,010 Weaver Land,Carlotta,CA,95528,40.507,-123.9743,1139,"Therapist, occupational",1325423877,39.704205,-124.787554,0,1/1/2019,13:17:57
"fraud_Schuppe, Nolan and Hoeger",shopping_pos,5.35,78117 George Mountains,Paauilo,HI,96776,20.0271,-155.3697,1490,"Scientist, research (maths)",1325423929,19.599726,-155.337647,0,1/1/2019,13:18:49
fraud_Beer-Jast,kids_pets,48.95,70147 Amanda Fields,Saint Bonaventure,NY,14778,42.2701,-78.6847,1453,Toxicologist,1325424020,42.970204,-79.093014,0,1/1/2019,13:20:20
fraud_Kautzer and Sons,personal_care,8.2,7020 Doyle Stream Apt. 951,Mesa,ID,83643,44.6255,-116.4493,129,Cartographer,1325424033,43.749837,-116.684895,0,1/1/2019,13:20:33
fraud_Feil-Morar,health_fitness,34.12,8510 Acevedo Burgs,Kent,OR,97033,45.0838,-120.6649,60,Museum education officer,1325424033,45.659517,-120.745042,0,1/1/2019,13:20:33
fraud_Denesik and Sons,shopping_pos,9.48,393 Carroll Route Suite 197,Norman Park,GA,31771,31.2462,-83.6549,5666,Rural practice surveyor,1325424055,30.673826,-83.162044,0,1/1/2019,13:20:55
fraud_Johnston-Casper,travel,7.33,0362 Anderson Wall,Mound City,MO,64470,40.1362,-95.2138,1631,Architect,1325424070,40.977943,-96.135389,0,1/1/2019,13:21:10
"fraud_Mante, Luettgen and Hackett",health_fitness,76.33,8925 Nicholas Points,Egan,LA,70531,30.251,-92.5002,1261,Broadcast presenter,1325424144,29.28851,-92.41663,0,1/1/2019,13:22:24
"fraud_Quitzon, Green and Bashirian",shopping_pos,2.77,70858 Jasmine Meadows Apt. 135,Lima,OH,45801,40.7641,-84.0973,86954,"Copywriter, advertising",1325424232,40.651797,-83.125195,0,1/1/2019,13:23:52
"fraud_Medhurst, Labadie and Gottlieb",travel,9.47,005 Cody Estates,Louisville,KY,40202,38.2507,-85.7476,736284,Engineering geologist,1325424236,38.887597,-84.953669,0,1/1/2019,13:23:56
"fraud_Lesch, D'Amore and Brown",food_dining,6.64,01892 Patricia Vista Apt. 828,Sachse,TX,75048,32.9643,-96.6012,20328,Site engineer,1325424313,33.444533,-96.249599,0,1/1/2019,13:25:13
fraud_Botsford PLC,home,30.29,15315 Vaughn Park Suite 356,Hovland,MN,55606,47.8342,-90.0476,272,Freight forwarder,1325424336,48.328348,-90.812565,0,1/1/2019,13:25:36
fraud_Kling-Ernser,entertainment,38.52,6911 Nicholas Keys Apt. 237,Armagh,PA,15920,40.4603,-79.0097,922,Early years teacher,1325424356,40.124979,-78.077567,0,1/1/2019,13:25:56
fraud_Bins-Howell,personal_care,23.95,28223 Ward Summit Apt. 664,Arvada,CO,80005,39.8422,-105.1097,122111,Hotel manager,1325424362,40.244496,-105.173078,0,1/1/2019,13:26:02
fraud_Kihn Inc,shopping_pos,6.27,572 Davis Mountains,Lake Jackson,TX,77566,29.0393,-95.4401,28739,Futures trader,1325424369,28.339809,-95.370525,0,1/1/2019,13:26:09
"fraud_Hartmann, Rowe and Hermann",travel,6,1166 Castillo Mountains,Ruckersville,VA,22968,38.2586,-78.4074,9815,"Designer, ceramics/pottery",1325424372,38.06693,-79.066949,0,1/1/2019,13:26:12
fraud_Towne LLC,misc_pos,4.99,7618 Gonzales Mission,Centerview,MO,64019,38.7897,-93.8702,2368,Electronics engineer,1325424388,39.068685,-93.258024,0,1/1/2019,13:26:28
fraud_Lynch-Wisozk,home,68.59,40624 Rebecca Spurs,De Witt,AR,72042,34.2853,-91.3336,5161,Electrical engineer,1325424402,34.306881,-91.068144,0,1/1/2019,13:26:42
fraud_Balistreri-Nader,misc_pos,5.61,29606 Martinez Views Suite 653,Hinesburg,VT,5461,44.3346,-73.098,4542,Claims inspector/assessor,1325424445,43.371657,-72.20788,0,1/1/2019,13:27:25
fraud_Kutch-Ferry,home,76.8,67089 Caitlin Meadow Apt. 905,Sturgis,MS,39769,33.357,-89.0473,1923,Medical physicist,1325424450,33.667667,-88.063395,0,1/1/2019,13:27:30
fraud_Goyette-Gerhold,kids_pets,47.51,45654 Hess Rest,Fort Washakie,WY,82514,43.0048,-108.8964,1645,Freight forwarder,1325424462,43.884203,-109.383737,0,1/1/2019,13:27:42
fraud_Medhurst Inc,home,1.27,41851 Victor Drives Suite 219,Allentown,PA,18103,40.5891,-75.4645,166081,"Scientist, research (maths)",1325424466,40.895456,-75.338488,0,1/1/2019,13:27:46
"fraud_Bradtke, Torp and Bahringer",personal_care,20.27,28223 Ward Summit Apt. 664,Arvada,CO,80005,39.8422,-105.1097,122111,Hotel manager,1325424473,40.015831,-104.719839,0,1/1/2019,13:27:53
fraud_Lynch-Wisozk,home,20.31,6682 Green Forks,Ogdensburg,NJ,7439,41.0767,-74.5982,2456,Senior tax professional/tax inspector,1325424501,40.707374,-73.912787,0,1/1/2019,13:28:21
fraud_Botsford Ltd,shopping_pos,8.5,400 Zuniga Pine,Winthrop,ME,4364,44.3229,-69.9576,6025,Advertising account planner,1325424526,43.62254,-70.062085,0,1/1/2019,13:28:46
fraud_Jewess LLC,shopping_pos,5.27,2870 Bean Terrace Apt. 756,Thomas,WV,26292,39.1505,-79.503,836,Forensic psychologist,1325424526,38.57756,-79.707906,0,1/1/2019,13:28:46
fraud_Homenick LLC,personal_care,63.78,0189 Emily Prairie,Wichita,KS,67232,37.6395,-97.1714,409656,Heritage manager,1325424680,37.386862,-96.52966,0,1/1/2019,13:31:20
fraud_Ernser-Lynch,food_dining,45.29,137 Adam Dale,Lebanon,VA,24266,36.8809,-82.0956,9521,"Teacher, English as a foreign language",1325424680,37.309526,-81.388197,0,1/1/2019,13:31:20
fraud_Gibson-Deckow,entertainment,18.85,5097 Martin Ridges,Minneapolis,MN,55403,44.9673,-93.2828,1022298,Chemical engineer,1325424684,45.902085,-93.872009,0,1/1/2019,13:31:24
"fraud_Zemlak, Tillman and Cremin",personal_care,45.85,519 Jerry Views,Avoca,IA,51521,41.4768,-95.3509,2036,Engineering geologist,1325424688,42.175079,-95.402688,0,1/1/2019,13:31:28
"fraud_Schneider, Hayes and Nikolaus",food_dining,73,7952 Karen Pike,De Soto,KS,66018,38.9462,-94.9714,5760,Chief Executive Officer,1325424713,38.449546,-94.850693,0,1/1/2019,13:31:53
"fraud_Schumm, McLaughlin and Carter",food_dining,60.39,30587 Fox Shores Apt. 627,Fenelton,PA,16034,40.8555,-79.7372,2054,Communications engineer,1325424766,40.536917,-79.96071,0,1/1/2019,13:32:46
fraud_Nader-Maggio,personal_care,31.69,42965 Christopher Fords Suite 659,Norman,AR,71960,34.4596,-93.6743,1383,Magazine features editor,1325424781,33.739267,-93.105373,0,1/1/2019,13:33:01
"fraud_Haley, Batz and Auer",health_fitness,14.22,6602 Ortiz Pine Apt. 179,Blooming Grove,TX,76626,32.0758,-96.701,1563,Financial adviser,1325424872,31.795228,-96.2427,0,1/1/2019,13:34:32
fraud_Pouros-Conroy,shopping_pos,8.35,3283 James Station,Fayetteville,NC,28314,35.0583,-79.008,238602,"Scientist, research (maths)",1325424881,35.229659,-78.070053,0,1/1/2019,13:34:41
"fraud_Weimann, Kuhic and Beahan",shopping_pos,4.29,4529 Cannon Alley,Center Point,WV,26339,39.4125,-80.6352,255,Chief Executive Officer,1325424903,39.274013,-80.383052,0,1/1/2019,13:35:03
fraud_Yost-Rogahn,personal_care,4.66,08580 Jeremy Falls,Bay City,OR,97107,45.5197,-123.8761,1530,Colour technologist,1325424906,45.811261,-123.080707,0,1/1/2019,13:35:06
"fraud_Reichert, Huels and Hoppe",shopping_net,1.97,1561 Chase Grove,Conway,NH,3818,43.9742,-71.1503,3807,Surgeon,1325424922,43.921412,-70.183573,0,1/1/2019,13:35:22
"fraud_Schoen, Nienow and Bauch",personal_care,7.49,558 Michael Estates,Luray,MO,63453,40.4931,-91.8912,519,Town planner,1325424958,41.462107,-92.720582,0,1/1/2019,13:35:58
"fraud_Ledner, Hartmann and Feest",health_fitness,12.89,3379 Williams Common,Littleton,CO,80120,39.5994,-105.0044,320420,Water engineer,1325424969,39.782236,-104.874005,0,1/1/2019,13:36:09
fraud_Collier LLC,home,8.02,81261 Garcia Underpass Suite 741,Southfield,MI,48034,42.4969,-83.2911,75830,"Engineer, automotive",1325424984,41.920889,-83.296441,0,1/1/2019,13:36:24
"fraud_Moore, Dibbert and Koepp",misc_net,52.34,8738 Richard Brooks,Moab,UT,84532,38.5677,-109.5271,9772,Location manager,1325425000,38.543764,-110.447495,0,1/1/2019,13:36:40
"fraud_Schaefer, Fay and Hilll",entertainment,59.29,2819 Luke Greens Suite 563,Kansas City,MO,64114,38.9621,-94.5959,545147,Counsellor,1325425051,39.523141,-94.450871,0,1/1/2019,13:37:31
fraud_Jakubowski Inc,home,48.73,86882 Desiree Camp Suite 047,Tyaskin,MD,21865,38.2833,-75.8465,470,Music tutor,1325425058,37.440633,-75.425462,0,1/1/2019,13:37:38
fraud_Schuppe-Schuppe,food_dining,130.77,507 John Overpass Suite 424,Harwood,MD,20776,38.8582,-76.6145,3289,Quantity surveyor,1325425060,39.545984,-77.605444,0,1/1/2019,13:37:40
fraud_Greenholt Ltd,health_fitness,5.49,9412 Harris Mews,O Brien,TX,79539,33.3749,-99.8473,178,Warden/ranger,1325425068,32.644302,-100.835042,0,1/1/2019,13:37:48
"fraud_Hettinger, McCullough and Fay",home,20.86,663 Ramirez Trace Apt. 951,Huntsville,AL,35811,34.7789,-86.5438,190178,Television production assistant,1325425094,35.446121,-86.300781,0,1/1/2019,13:38:14
"fraud_Walter, Hettinger and Kessler",personal_care,71.32,529 Joshua Knoll Apt. 511,Lonetree,WY,82936,41.0552,-110.1603,49,Research scientist (physical sciences),1325425123,41.893217,-109.472759,0,1/1/2019,13:38:43
"fraud_Berge, Kautzer and Harris",personal_care,73.32,45654 Hess Rest,Fort Washakie,WY,82514,43.0048,-108.8964,1645,Freight forwarder,1325425160,43.363922,-108.455356,0,1/1/2019,13:39:20
"fraud_Crist, Jakubowski and Littel",home,92.5,977 Rita Grove Apt. 000,Rock Tavern,NY,12575,41.4575,-74.1659,2258,Building surveyor,1325425229,41.206501,-74.254239,0,1/1/2019,13:40:29
"fraud_Schneider, Hayes and Nikolaus",food_dining,6.98,1831 Faith View Suite 653,Clarinda,IA,51632,40.7491,-95.038,7297,IT trainer,1325425285,40.824327,-95.067308,0,1/1/2019,13:41:25
fraud_Gleason-Macejkovic,shopping_net,23.25,50872 Alex Plain Suite 088,Baton Rouge,LA,70808,30.4066,-91.1468,378909,"Designer, furniture",1325425335,30.171034,-91.212565,0,1/1/2019,13:42:15
fraud_Gottlieb-Hansen,personal_care,11.51,587 Bradley Inlet Suite 281,Cuyahoga Falls,OH,44223,41.1464,-81.5107,47772,Equities trader,1325425383,40.160721,-82.12512,0,1/1/2019,13:43:03
fraud_Bechtelar-Rippin,food_dining,34.69,08056 Alvarado Club Suite 699,Phoenix,AZ,85086,33.8155,-112.1202,1312922,Counselling psychologist,1325425404,32.855972,-111.598629,0,1/1/2019,13:43:24
fraud_Hermann-Gaylord,misc_pos,7.28,372 Jeffrey Course,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,1325425415,40.219185,-100.170155,0,1/1/2019,13:43:35
fraud_Hamill-D'Amore,health_fitness,36.35,957 Miller Falls,Apison,TN,37302,35.0149,-85.0164,3730,Occupational therapist,1325425434,34.661292,-85.668464,0,1/1/2019,13:43:54
fraud_Swift PLC,kids_pets,52.41,3433 Jones Branch,Fiddletown,CA,95629,38.5234,-120.6763,832,Immigration officer,1325425491,38.341426,-121.134742,0,1/1/2019,13:44:51
"fraud_Cronin, Kshlerin and Weber",health_fitness,74.89,3645 Atkins Island Apt. 238,Esbon,KS,66941,39.7562,-98.4462,242,Tourism officer,1325425506,39.427808,-99.434028,0,1/1/2019,13:45:06
"fraud_Romaguera, Wehner and Tromp",kids_pets,68.81,17819 Jose Mount Suite 657,Heidelberg,MS,39439,31.882,-88.9981,4573,"Exhibitions officer, museum/gallery",1325425515,32.134367,-89.245261,0,1/1/2019,13:45:15
